lookback_size,misses_threshold,alpha,window,limit,bps,totalb,time
15,7,1,15,1,1.48208,3.35962e+07,16.463
15,7,1,15,2,1.46847,3.32877e+07,16.8369
15,7,1,15,3,1.46397,3.31856e+07,17.2273
15,7,1,15,4,1.46211,3.31434e+07,17.3995
15,7,1,15,5,1.46094,3.3117e+07,18.8116
15,7,1,15,6,1.4601,3.30979e+07,17.6985
15,7,1,15,7,1.45972,3.30894e+07,18.2288
15,7,1,15,8,1.4593,3.30797e+07,17.9815
15,7,1,15,9,1.45897,3.30722e+07,18.2712
15,7,1,15,10,1.45892,3.30712e+07,18.5203
15,7,1,15,11,1.45865,3.30649e+07,18.5062
15,7,1,15,12,1.45862,3.30644e+07,18.5283
15,7,1,15,13,1.45846,3.30607e+07,18.7255
15,7,1,15,14,1.45825,3.30561e+07,18.9638
15,7,1,15,15,1.45818,3.30543e+07,19.008
15,7,1,15,16,1.45808,3.30521e+07,19.2289
15,7,1,15,17,1.45805,3.30514e+07,19.2589
15,7,1,15,18,1.45806,3.30516e+07,19.1792
15,7,1,15,19,1.45796,3.30494e+07,19.4463
15,7,1,15,20,1.45798,3.30499e+07,19.334
