lookback_size,misses_threshold,alpha,window,limit,bps,totalb,time
8,7,1,15,1,1.59978,3.62642e+07,16.528
9,7,1,15,1,1.53126,3.47109e+07,16.0923
10,7,1,15,1,1.50541,3.4125e+07,16.3753
11,7,1,15,1,1.49286,3.38405e+07,16.0724
12,7,1,15,1,1.48689,3.37051e+07,16.4435
13,7,1,15,1,1.48359,3.36303e+07,16.1472
14,7,1,15,1,1.48264,3.36088e+07,16.2753
15,7,1,15,1,1.48208,3.35962e+07,16.2688
16,7,1,15,1,1.48251,3.36058e+07,16.3529
17,7,1,15,1,1.48296,3.36161e+07,16.3541
18,7,1,15,1,1.48378,3.36347e+07,16.3996
19,7,1,15,1,1.48487,3.36593e+07,16.3632
20,7,1,15,1,1.48561,3.36761e+07,16.4816
