lookback_size,misses_threshold,alpha,window,limit,bps,totalb,time
15,1,1,15,1,1.58221,3.58658e+07,15.9661
15,2,1,15,1,1.54954,3.51254e+07,17.1396
15,3,1,15,1,1.5217,3.44942e+07,16.5817
15,4,1,15,1,1.49993,3.40008e+07,16.1372
15,5,1,15,1,1.48666,3.36999e+07,17.0996
15,6,1,15,1,1.48131,3.35787e+07,16.2894
15,7,1,15,1,1.48208,3.35962e+07,16.7419
15,8,1,15,1,1.48894,3.37517e+07,16.5455
15,9,1,15,1,1.50094,3.40235e+07,16.5982
15,10,1,15,1,1.51907,3.44346e+07,16.6286
15,11,1,15,1,1.54791,3.50883e+07,16.7303
15,12,1,15,1,1.59771,3.62171e+07,16.576
15,13,1,15,1,1.68265,3.81428e+07,17.552
15,14,1,15,1,1.80849,4.09953e+07,17.3003
