lookback_size,misses_threshold,alpha,window,limit,bps,totalb,time
15,7,1,5,1,1.98856,4.50771e+07,4.63736
15,7,1,6,1,1.93518,4.38671e+07,5.22584
15,7,1,7,1,1.876,4.25255e+07,6.35374
15,7,1,8,1,1.78141,4.03814e+07,8.5172
15,7,1,9,1,1.69117,3.83359e+07,11.4792
15,7,1,10,1,1.63073,3.69657e+07,12.7142
15,7,1,11,1,1.58298,3.58834e+07,14.0227
15,7,1,12,1,1.54292,3.49752e+07,15.6065
15,7,1,13,1,1.51372,3.43133e+07,15.7069
15,7,1,14,1,1.49262,3.38352e+07,16.802
15,7,1,15,1,1.48208,3.35962e+07,16.2922
15,7,1,16,1,1.48211,3.35968e+07,17.584
15,7,1,17,1,1.48793,3.37287e+07,17.836
15,7,1,18,1,1.49684,3.39307e+07,17.7031
15,7,1,19,1,1.50676,3.41556e+07,17.7662
15,7,1,20,1,1.5173,3.43945e+07,17.605
